Bets,Wins,Win%,Places,Placepercent,ROI(SP),ROI(BF),ROI Lay(BF),ROI Lay(SP),Places BF,Place% BF,ROI Place BF,ROI Lay Place BF,Max Odds,A/E,Trainer,Course,Gender
6,0,0,1,16.67,-100,-100,5.7,1.99,1,16.67,-1.7,1.28,51,0,"Evans, P D",Salisbury,Male
6,0,0,1,16.67,-100,-100,5.7,2.41,1,16.67,-3.58,3.25,51,0,"Evans, P D",Windsor,Male
6,0,0,2,33.33,-100,-100,5.7,4.85,2,33.33,-0.51,0.13,34,0,"Fahey, R A",Chester,Male
7,0,0,1,14.29,-100,-100,6.65,12.62,1,14.29,-3.63,3.2,15,0,"Fahey, R A",Ripon,Male
6,0,0,0,0,-100,-100,5.7,3.53,0,0,-6,5.7,26,0,"Fanshawe, J R",Kempton,Male
5,0,0,0,0,-100,-100,4.75,0.76,0,0,-5,4.75,101,0,"Furtado, Ivan",Leicester,Male
7,4,57.14,4,57.14,90.43,111.86,-8.55,-7.4,4,57.14,2.16,-2.58,26,4.12,"Gosden, J H M",Ascot,Male
15,5,33.33,6,40,9.67,26.5,-5.21,-5.06,6,42.86,-3.72,3.09,17,1.45,"Gosden, J H M",Chelmsford City,Male
5,0,0,4,80,-100,-100,4.75,21.51,4,80,1.66,-1.85,10,0,"Gosden, J H M",Haydock,Male
5,4,80,4,80,28.8,37.38,-2.07,-37.43,4,80,-0.14,0.04,3,1.4,"Gosden, J H M",Newcastle,Male
7,0,0,3,42.86,-100,-100,6.65,9.71,3,42.86,2.84,-3.4,15,0,"Gosden, J H M",Nottingham,Male
6,0,0,1,16.67,-100,-100,5.7,13.51,1,16.67,-4.15,3.86,17,0,"Haggas, W J",Doncaster,Male
7,0,0,5,71.43,-100,-100,6.65,11.36,5,71.43,2.95,-3.31,13,0,"Haggas, W J",Kempton,Male
6,2,33.33,4,66.67,91.67,124.28,-8.26,-27.33,4,66.67,4.15,-4.57,9,1.5,"Haggas, W J",Windsor,Male
14,0,0,2,14.29,-100,-100,13.3,2.87,2,14.29,-2.49,1.39,34,0,"Halford, M",Dundalk,Male
10,0,0,1,10,-100,-100,9.5,6.5,1,10,-8.94,8.49,17,0,"Hannon (Jnr), Richard",Doncaster,Male
5,0,0,2,40,-100,-100,4.75,6.17,2,40,-0.4,0.11,26,0,"Hannon (Jnr), Richard",Ffos Las,Male
12,4,33.33,5,41.67,283.33,444.91,-57.02,-34.01,5,41.67,2.11,-2.94,26,2.48,"Hannon (Jnr), Richard",Goodwood,Male
23,1,4.35,4,17.39,-65.22,-65.05,13.49,1.85,4,17.39,-11.61,10.27,51,0.49,"Hannon (Jnr), Richard",Kempton,Male
9,3,33.33,5,55.56,118.11,129.14,-12.85,-14.97,5,55.56,4.27,-4.91,21,1.86,"Hannon (Jnr), Richard",Nottingham,Male
12,0,0,1,8.33,-100,-100,11.4,4.51,1,8.33,-10.13,9.53,41,0,"Hannon (Jnr), Richard",Salisbury,Male
11,0,0,3,27.27,-100,-100,10.45,2.34,3,27.27,-0.75,-0.03,51,0,"Hannon (Jnr), Richard",Sandown,Male
6,0,0,2,33.33,-100,-100,5.7,4.85,2,33.33,5.38,-6.07,23,0,"Hannon (Jnr), Richard",Wolverhampton,Male
6,0,0,3,50,-100,-100,5.7,6.18,3,50,8.3,-9.04,26,0,"Hannon (Jnr), Richard",York,Male
5,0,0,0,0,-100,-100,4.75,1.82,0,0,-5,4.75,51,0,"Harrington, Mrs John",Dundalk,Male
5,0,0,0,0,-100,-100,4.75,2.12,0,0,-5,4.75,34,0,"Harrington, Mrs John",Gowran Park,Male
8,0,0,3,37.5,-100,-100,7.6,3.21,3,37.5,2.07,-2.69,34,0,"Harrington, Mrs John",Naas,Male
5,0,0,0,0,-100,-100,4.75,5.95,0,0,-5,4.75,26,0,"Harrington, Mrs John",Roscommon,Male
7,0,0,0,0,-100,-100,6.65,4.56,1,14.29,-4.41,4.03,21,0,"Hills, Charles",Doncaster,Male
6,0,0,1,16.67,-100,-100,5.7,1.18,1,16.67,3.17,-3.85,81,0,"Hughes, Richard",Goodwood,Male
6,0,0,1,16.67,-100,-100,5.7,2.05,1,16.67,5.58,-6.39,51,0,"Hughes, Richard",Newbury,Male
7,0,0,1,14.29,-100,-100,6.65,2.25,1,14.29,-4.1,3.7,67,0,"Hughes, Richard",Salisbury,Male
5,0,0,0,0,-100,-100,4.75,0.95,0,0,-5,4.75,101,0,"Ivory, D K",Windsor,Male
13,0,0,3,23.08,-100,-100,12.35,6.74,4,30.77,-3.35,2.6,26,0,"Johnston, M",Ayr,Male
6,2,33.33,4,66.67,-37.83,-38.33,2.01,6.01,4,66.67,0.39,-0.62,11,1.04,"Johnston, M",Brighton,Male
9,0,0,3,33.33,-100,-100,8.55,6.22,3,33.33,-1.19,0.64,21,0,"Johnston, M",Kempton,Male
7,0,0,1,14.29,-100,-100,6.65,22.95,2,28.57,-3.49,3.16,10,0,"Johnston, M",Musselburgh,Male
5,2,40,2,40,240,285.8,-15.35,-22.6,2,40,2.23,-2.65,17,2.94,"Johnston, M",Yarmouth,Male
5,0,0,2,40,-100,-100,4.75,2.11,2,40,2.39,-2.82,41,0,"Keatley, Adrian Paul",Curragh,Male
5,0,0,2,40,-100,-100,4.75,1.26,3,60,16.87,-17.96,81,0,"Kelleway, Miss Gay",Yarmouth,Male
7,0,0,0,0,-100,-100,6.65,0.95,0,0,-7,6.65,51,0,"King, A",Sandown,Male
5,0,0,1,20,-100,-100,4.75,1.15,1,20,3.98,-4.6,67,0,"Kirk, S",Kempton,Male
5,0,0,2,40,-100,-100,4.75,3.57,2,40,2.01,-2.42,26,0,"Kirk, S",Lingfield,Male
5,0,0,0,0,-100,-100,4.75,0.91,0,0,-5,4.75,51,0,"Lanigan, D R",Kempton,Male
13,5,38.46,7,53.85,223.08,241.29,-33.84,-23.55,7,53.85,7.36,-8.36,21,2.76,"Lyons, G M",Leopardstown,Male
7,0,0,0,0,-100,-100,6.65,0.6,0,0,-7,6.65,101,0,"Main, Mrs H S",Newbury,Male
26,1,3.85,5,19.23,-19.23,42.44,-14.18,-1.86,5,19.23,-5.15,3.27,34,0.58,"Meehan, B J",Newbury,Male
6,2,33.33,3,50,433.33,627.78,-40.06,-8.59,3,50,4.71,-5.27,101,4.65,"Meehan, B J",Newmarket (July),Male
6,0,0,1,16.67,-100,-100,5.7,1.09,1,16.67,-1.87,1.45,67,0,"Meehan, B J",Sandown,Male
6,0,0,1,16.67,-100,-100,5.7,2.18,1,16.67,-2.6,2.22,51,0,"Meehan, B J",Windsor,Male
5,0,0,1,20,-100,-100,4.75,0.48,1,20,-3.2,2.96,101,0,"Moore, J S",Lingfield,Male
5,0,0,0,0,-100,-100,4.75,0.22,0,0,-5,4.75,126,0,"Moore, J S",Newbury,Male
5,0,0,0,0,-100,-100,4.75,0.49,0,0,-5,4.75,101,0,"Moore, J S",Windsor,Male
23,0,0,1,4.35,-100,-100,21.85,1.2,1,4.35,-18.11,16.8,81,0,"Murtagh, J P",Curragh,Male
8,0,0,1,12.5,-100,-100,7.6,2.29,1,12.5,-2.61,2.03,41,0,"Murtagh, J P",Naas,Male
5,0,0,1,20,-100,-100,4.75,1.78,1,20,3.6,-4.2,34,0,"Murtagh, J P",Navan,Male
5,0,0,1,20,-100,-100,4.75,6.7,1,20,-2.74,2.47,11,0,"OBrien, A P",Killarney,Male
35,1,2.86,10,28.57,-57.14,-14.11,1.71,0.37,10,28.57,-5.18,2.89,21,0.18,"OBrien, A P",Leopardstown,Male
5,0,0,0,0,-100,-100,4.75,9.59,0,0,-5,4.75,13,0,"OBrien, Joseph Patrick",Bellewstown,Male
16,0,0,2,12.5,-100,-100,15.2,2.2,2,12.5,-6.51,5.42,51,0,"OBrien, Joseph Patrick",Curragh,Male
25,1,4,7,28,-91.6,-90.87,21.45,5.08,7,28,-8.56,7.16,26,0.27,"OBrien, Joseph Patrick",Dundalk,Male
6,0,0,1,16.67,-100,-100,5.7,3.84,1,16.67,-4.29,4,26,0,"OBrien, Joseph Patrick",Gowran Park,Male
7,0,0,1,14.29,-100,-100,6.65,1.68,1,14.29,-2.39,1.9,51,0,"OBrien, Joseph Patrick",Leopardstown,Male
7,0,0,1,14.29,-100,-100,6.65,2.92,1,14.29,-2.86,2.39,34,0,"OBrien, Joseph Patrick",Navan,Male
5,2,40,3,60,460,1571.15,-83,-57.13,3,60,10.07,-10.81,23,3.64,"OCallaghan, M D",Navan,Male
5,0,0,1,20,-100,-100,4.75,3.32,1,20,0.56,-1,26,0,"OKeeffe, Jedd",Carlisle,Male
5,0,0,1,20,-100,-100,4.75,1.75,1,20,1.89,-2.4,51,0,"Osborne, J A",Chelmsford City,Male
7,0,0,0,0,-100,-100,6.65,1.89,0,0,-7,6.65,67,0,"Osborne, J A",Kempton,Male
9,0,0,0,0,-100,-100,8.55,2.36,0,0,-9,8.55,34,0,"Osborne, J A",Lingfield,Male
7,0,0,1,14.29,-100,-100,6.65,1.11,1,14.29,7.91,-8.94,67,0,"Osborne, J A",Wolverhampton,Male
7,0,0,0,0,-100,-100,6.65,1.38,0,0,-7,6.65,34,0,"Oxx, John M",Curragh,Male
12,4,33.33,6,50,175.83,201.71,-26.3,-10.2,6,50,5.21,-6.1,41,2.84,"Palmer, Hugo",Kempton,Male
6,0,0,0,0,-100,-100,5.7,8.55,0,0,-6,5.7,17,0,"Palmer, Hugo",Lingfield,Male
8,0,0,4,50,-100,-100,7.6,5.79,4,50,3.5,-4.09,34,0,"Palmer, Hugo",Newbury,Male
6,0,0,1,16.67,-100,-100,5.7,3.55,1,16.67,-4.15,3.86,34,0,"Palmer, Hugo",Newmarket (July),Male
5,0,0,2,40,-100,-100,4.75,5.57,2,40,-0.94,0.68,34,0,"Palmer, Hugo",Newmarket (Rowley),Male
5,0,0,0,0,-100,-100,4.75,2.4,0,0,-5,4.75,51,0,"Palussiere, Matthieu",Ascot,Male
9,0,0,0,0,-100,-100,8.55,0.99,0,0,-9,8.55,67,0,"Prescott, Sir Mark",Chelmsford City,Male
6,0,0,0,0,-100,-100,5.7,0.61,0,0,-6,5.7,67,0,"Prescott, Sir Mark",Kempton,Male
5,0,0,0,0,-100,-100,4.75,1.31,0,0,-5,4.75,41,0,"Prescott, Sir Mark",Yarmouth,Male
5,0,0,1,20,-100,-100,4.75,3.43,1,20,1.13,-1.6,26,0,"Quinn, J J",Beverley,Male
6,0,0,0,0,-100,-100,5.7,1.09,0,0,-6,5.7,151,0,"Quinn, J J",Newcastle,Male
5,0,0,0,0,-100,-100,4.75,5.15,0,0,-5,4.75,26,0,"Quinn, J J",York,Male
7,0,0,0,0,-100,-100,6.65,3.22,0,0,-7,6.65,41,0,"Ryan, K A",Newcastle,Male
7,0,0,1,14.29,-100,-100,6.65,3.43,1,14.29,-4.05,3.65,34,0,"Ryan, K A",Thirsk,Male
7,0,0,2,28.57,-100,-100,6.65,2.71,3,42.86,3.85,-4.46,34,0,"Scott, George",Doncaster,Male
5,0,0,1,20,-100,-100,4.75,4.8,1,20,-1.53,1.2,34,0,"Simcock, D M",Chelmsford City,Male
8,0,0,1,12.5,-100,-100,7.6,0.69,1,12.5,-4.18,3.68,101,0,"Simcock, D M",Kempton,Male
5,0,0,0,0,-100,-100,4.75,4.86,0,0,-5,4.75,21,0,"Simcock, D M",Yarmouth,Male
12,0,0,1,8.33,-100,-100,11.4,3.64,1,8.33,-9.92,9.31,41,0,"Smart, B",Beverley,Male
5,0,0,1,20,-100,-100,4.75,2.48,1,20,-1.91,1.6,67,0,"Smart, B",Carlisle,Male
9,0,0,0,0,-100,-100,8.55,3.09,1,11.11,-7.85,7.44,41,0,"Stack, J A",Curragh,Male
5,0,0,2,40,-100,-100,4.75,16.92,2,40,-1.93,1.72,11,0,"Stoute, Sir Michael",Chelmsford City,Male
5,0,0,0,0,-100,-100,4.75,3.37,0,0,-5,4.75,29,0,"Stoute, Sir Michael",Newmarket (Rowley),Male
9,0,0,0,0,-100,-100,8.55,4.9,1,11.11,-7.53,7.11,34,0,"Stoute, Sir Michael",Sandown,Male
5,0,0,1,20,-100,-100,4.75,11.93,1,20,-3.39,3.16,12,0,"Stoute, Sir Michael",Wolverhampton,Male
5,0,0,2,40,-100,-100,4.75,14.68,3,60,1.7,-1.99,8,0,"Suroor, Saeed Bin",Chelmsford City,Male
6,0,0,3,50,-100,-100,5.7,5.06,3,50,1.31,-1.69,34,0,"Suroor, Saeed Bin",Newmarket (Rowley),Male
5,0,0,3,60,-100,-100,4.75,18.92,3,60,0.92,-1.17,9,0,"Suroor, Saeed Bin",Wolverhampton,Male
5,0,0,2,40,-100,-100,4.75,5.3,2,40,4.51,-5.05,21,0,"Tregoning, M P",Goodwood,Male
5,0,0,0,0,-100,-100,4.75,1.33,0,0,-5,4.75,51,0,"Tregoning, M P",Salisbury,Male
7,0,0,2,28.57,-100,-100,6.65,7.76,2,28.57,-1.75,1.33,21,0,"Varian, Roger",Newcastle,Male
6,0,0,1,16.67,-100,-100,5.7,7.09,2,33.33,-2.41,2.13,26,0,"Varian, Roger",Newmarket (July),Male
8,0,0,2,25,-100,-100,7.6,3.14,2,25,3.96,-4.78,34,0,"Varian, Roger",Newmarket (Rowley),Male
7,0,0,3,42.86,-100,-100,6.65,12.1,3,42.86,-2.01,1.7,21,0,"Varian, Roger",Nottingham,Male
8,0,0,0,0,-100,-100,7.6,1.37,0,0,-8,7.6,67,0,"Walker, Ed",Kempton,Male
6,0,0,2,33.33,-100,-100,5.7,3.04,2,33.33,3.96,-4.58,41,0,"Walker, Ed",Newbury,Male
10,0,0,0,0,-100,-100,9.5,2.4,0,0,-10,9.5,51,0,"Walker, Ed",Salisbury,Male
7,0,0,1,14.29,-100,-100,6.65,4.02,1,14.29,-0.25,-0.35,26,0,"Walker, Ed",Windsor,Male
7,3,42.86,5,71.43,7.86,8.95,-1.07,-2.02,5,71.43,7.22,-7.8,23,1.53,"Watson, Archie",Chelmsford City,Male
5,2,40,4,80,154.6,254.64,-13.71,-17.01,4,80,8.71,-9.27,26,2.2,"Watson, Archie",Kempton,Male
5,2,40,4,80,25,28.54,-1.81,-8.29,4,80,3.4,-3.68,7.5,1.67,"Watson, Archie",Wolverhampton,Male
11,0,0,0,0,-100,-100,10.45,3.37,0,0,-11,10.45,34,0,"Weld, D K",Curragh,Male
9,0,0,3,33.33,-100,-100,8.55,4.7,3,33.33,1.12,-1.79,34,0,"Weld, D K",Naas,Male
